GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DResultDialog,475,0,24,0,103,0,22,0,10,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisDataTablePane.new Listener() {...},58,0,8,0,12,0,7,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisDataTablePane.new Listener() {...},107,0,10,0,22,0,8,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisDataTablePane.new ActionListener() {...},61,0,4,0,12,0,4,0,2,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DResultDialog.new WindowAdapter() {...},10,0,0,0,3,0,2,0,2,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DResultDialog.new Listener() {...},41,0,2,0,9,0,4,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisTopHitsTablePane,146,0,14,0,40,0,16,0,9,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane.new Listener() {...},65,0,8,0,14,0,7,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane.new ActionListener() {...},24,12,4,0,6,1,3,1,1,1
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane.new ActionListener() {...},29,9,2,0,8,1,2,1,1,1
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane.new Listener() {...},47,0,8,0,11,0,7,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane.new Listener() {...},65,0,4,0,13,0,5,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysis2DChartPane,181,156,15,1,54,42,18,8,10,8
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisDataTablePane,324,0,18,0,83,0,27,0,18,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisTopHitsTablePane.new Listener() {...},23,0,2,0,6,0,4,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisTopHitsTablePane.new Listener() {...},120,0,10,0,26,0,8,0,3,0
VStar,org.aavso.tools.vstar.ui.dialog.period,PeriodAnalysisTopHitsTablePane.new ActionListener() {...},216,0,10,0,41,0,7,0,2,0
VStar,org.aavso.tools.vstar.util.plugin,URLAuthenticator,18,0,0,0,5,0,2,0,2,0
VStar,org.aavso.tools.vstar.util.model,TSPolynomialFitter,61,600,12,28,15,112,20,20,9,11
VStar,org.aavso.tools.vstar.util.model,RelativeAmplitudeAndPhaseCreator,365,0,26,0,78,0,22,0,9,0
VStar,org.aavso.tools.vstar.util.model,Harmonic,0,111,2,14,0,28,2,16,0,10
VStar,org.aavso.tools.vstar.util.model,WWZMultiperiodicModel,223,0,16,0,56,0,20,0,12,0
VStar,org.aavso.tools.vstar.util.model,PeriodAnalysisDerivedMultiPeriodicModel,424,367,33,21,92,62,31,17,10,11
VStar,org.aavso.tools.vstar.util.model,AbstractModel,311,0,19,0,73,0,26,0,16,0
VStar,org.aavso.tools.vstar.util.model,PeriodAnalysisDerivedMultiPeriodicModel.new UnivariateRealFunction() {...},39,0,2,0,6,0,3,0,2,0
VStar,org.aavso.tools.vstar.util.model,PeriodFitParameters,12,436,6,10,1,91,6,23,0,21
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,TextFormatObservationSourcePlugin,144,0,6,0,31,0,11,0,8,0
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,NamedNodeMapSequence,0,15,0,0,0,5,0,3,0,3
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceCSV2ObservationSourcePlugin.VSXAIDCSVObservationRetriever,159,535,17,67,33,165,20,31,4,5
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceXMLAttributeObservationSourcePlugin,47,10,4,0,10,3,3,2,1,2
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AAVSOPhotometryURLObservationSourceBase.AAVSOPhotometryURLObservationRetriever,211,0,22,0,52,0,16,0,5,0
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AAVSOPhotometryURLObservationSourceBase.AAVSOPhotometryURLSearchParameterDialog.new ActionListener() {...},168,0,22,0,39,0,14,0,2,0
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AAVSOPhotometryURLObservationSourceBase.AAVSOPhotometryURLSearchParameterDialog.new ActionListener() {...},49,0,8,0,10,0,6,0,2,0
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AAVSOPhotometryURLObservationSourceBase,200,41,13,1,39,13,13,3,6,3
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceXMLAttributeObservationSourcePlugin.VSXAIDAttributeObservationRetriever,96,508,22,70,24,145,25,29,4,4
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceObservationSourcePluginBase,265,227,24,15,68,66,26,14,10,10
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AAVSOPhotometrySource,116,0,10,0,28,0,12,0,3,0
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceCSVObservationSourcePlugin,47,10,4,0,10,3,3,2,1,2
VStar,org.aavso.tools.vstar.plugin.ob.src.impl,AIDWebServiceCSVObservationSourcePlugin.VSXCSVObservationRetriever,137,530,19,69,30,159,22,31,4,5
