JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer
2455798.33333,14.5,0.5,,TR,RWAA,,ensemble,,gsc2.3,EOS40D Baader ACF filter,0,,Z,,,,SN 2011FE,0,STD,,,
2455798.33333,15.5,0.5,,TB,RWAA,,ensemble,,gsc2.3,EOS40D Baader ACF filter ,0,,Z,,,,SN 2011FE,0,STD,,,
2455798.33333,15.0,0.5,,TG,RWAA,,ensemble,,gsc2.3,EOS 40D with baader ACF filter,0,,Z,,,,PTF11kly,0,STD,,,
2455798.59267,14.890,0.076,,V,ROE,,ENSEMBLE,141,5248AU,U,0,1.420,Z,,14.099,,PTF11KLY,0,STD,,,
2455798.63354,14.76,0.05,,V,HSW,,000-BKD-533,000-BKD-538,5253ahq,,0,,Z,13.801,15.475,,PTF11kly,0,STD,,,
2455798.646713,15.149,0.028,,B,SRIC,,ENSEMBLE,000-BKD-527,5249CV,,0,1.319,Z,,12.300,,PTF11KLY,0,STD,1,,
2455798.65199,14.789,0.014,,V,SRIC,,ENSEMBLE,000-BKD-527,5249CV,MEAN 3 OBS. ERR BY QUADRATURE,0,1.33,Z,,11.726,,PTF11KLY,0,STD,,,
2455798.65537,14.657,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.554,Z,13.606,13.637,,PTF11KLY,0,STD,,,
2455798.65655,14.706,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.561,Z,13.605,13.638,,PTF11KLY,0,STD,,,
2455798.65889,14.683,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.577,Z,13.596,13.647,,PTF11KLY,0,STD,,,
2455798.66007,14.690,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.585,Z,13.606,13.637,,PTF11KLY,0,STD,,,
2455798.66124,14.657,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.593,Z,13.594,13.649,,PTF11KLY,0,STD,,,
2455798.66242,14.681,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.602,Z,13.616,13.627,,PTF11KLY,0,STD,,,
2455798.66359,14.685,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.610,Z,13.601,13.642,,PTF11KLY,0,STD,,,
